OC_CODICE_PROGRAMMA;x_CICLO;x_AMBITO;x_GRUPPO;RISORSE;x_PROGRAMMA
NA;2007-2013;FSC;NAZ; 1204240000;NA
NA;2007-2013;FSC;REG;17150458885;NA
TEMP_0713_001;2007-2013;FSC;NAZ-PCM; 7164920000;NA
TEMP_0713_002;2007-2013;FSC;NAZ-INF; 8340770000;NA
TEMP_0713_003;2007-2013;FSC;NAZ-OCC; 2600000000;NA
TEMP_0713_004;2007-2013;FSC;NAZ-PCM;  600000000;NA
TEMP_0713_005;2007-2013;FSC;NAZ-INF;   14460000;NA
TEMP_0713_009;2007-2013;FSC;NAZ-ALT;    6010000;NA
TEMP_0713_019;2007-2013;FSC;NAZ-NEW;   33400000;NA
TEMP_0713_020;2007-2013;FSC;NAZ-NEW;    3530000;NA
TEMP_0713_021;2007-2013;FSC;NAZ-NEW;    4000000;NA
TEMP_0713_098;2007-2013;FSC;NAZ-NEW;    2010000;NA
TEMP_BASILICATA;2014-2020;POC;POCR;  275343780;NA
TEMP_ENERGIA;2014-2020;POC;POCN;  127750000;NA
TEMP_MOLISE;2014-2020;POC;POCR;   24600000;NA
TEMP_RETI;2014-2020;POC;POCN;  670448485;NA
Y001;2007-2013;FSC;ODS;   12000000;NA
Y002;2007-2013;FSC;ODS;    1777317;NA
