QSN_CODICE_OBIETTIVO_SPECIFICO;QSN_DESCR_OBIETTIVO_SPECIFICO;QUERY;NOTE
1.1.1;Migliorare la qualità dell'offerta di istruzione-formazione, i risultati dell'apprendimento e agevolare la riconoscibilità delle competenze acquisite;0;
1.1.2;Migliorare il governo dell'attuazione, l'integrazione tra i sistemi dell'istruzione,formazione e lavoro e il rapporto con il territorio;0;
1.2.1;Accrescere il tasso di partecipazione all'istruzione e formazione iniziale;0;
1.2.2;Innalzare i livelli medi dell'apprendimento, promuovere le eccellenze e garantire un livello minimo di competenze per tutti;0;
1.2.3;Accrescere la diffusione, l'accesso e l'uso della società dell'informazione nella scuola e nel sistema formativo;0;
1.3.1;Garantire l'accessibilità a opportunità formative, certificate, per le competenze chiave e la cittadinanza attiva;0;
1.3.2;Sostenere la costruzione di un sistema nazionale di formazione superiore per aumentare la competitività;0;
1.3.3;Accrescere l'utilizzo di percorsi integrati per l'inserimento e il reinserimento lavorativo;0;
1.4.1;Sostenere politiche di formazione e politiche di anticipazione indirizzate alla competitività delle imprese;0;
1.4.2;Indirizzare il sistema di formazione continua a sostegno della capacità di adattamento dei lavoratori;0;
10.1.1;Rafforzare le competenze tecniche e di governo delle amministrazioni e degli enti attuatori, per migliorare l'efficacia della programmazione e la qualità degli interventi per offrire servizi migliori alla cittadinanza;0;
10.1.2;Favorire un innalzamento dei livelli di legalità;0;
10.1.3;Favorire l'apertura dei mercati dei servizi, migliorare e adeguare la regolazione per conseguire condizioni piu concorrenziali;0;
2.1.1;Qualificare in senso innovativo l'offerta di ricerca, favorendo la creazione di reti fra Università, centri di ricerca e tecnologia e il mondo della produzione sviluppando meccanismi a un tempo concorrenziali e cooperativi, in grado di assicurare fondi ai ricercatori piu promettenti;0;
2.1.2;Valorizzare competenze e funzioni di mediazione per superare i limiti di tipo relazionale e organizzativo tra gli attori del sistema della ricerca e dell'innovazione;0;
2.1.3;Aumentare la propensione delle imprese a investire in ricerca e innovazione;0;
2.1.4;Valorizzare il capitale umano per favorire processi di ricerca e innovazione, promuovendo l'attrazione di investimenti e talenti e l'assorbimento di risorse umane da parte del sistema delle imprese e favorendo una migliore e piu intensa interazione fra queste ultime e le Università e i centri di ricerca e tecnologia;0;
2.1.5;Valorizzare la capacità di ricerca, trasferimento e assorbimento dell'innovazione da parte delle Regioni tramite la cooperazione territoriale;0;
2.1.6;Sviluppare contenuti, applicazioni e servizi digitali avanzati e accrescerne la capacità di utilizzo, l'accessibilità e fruibilità anche attraverso adeguata promozione dell'offerta;0;
2.1.7;Sostenere la promozione di servizi pubblici moderni e rafforzare i processi di innovazione della Pubblica Amministrazione attorno alle nuove Tecnologie dell'Informazione e Comunicazione;0;
2.1.8;Garantire a cittadini, imprese e Pubblica Amministrazione l'accesso alle reti, riducendo il divario infrastrutturale riguardante la banda larga nelle aree remote e rurali (aree deboli/marginali);0;
3.1.1;Diversificazione delle fonti energetiche e aumento dell'energia prodotta da fonti rinnovabili;0;
3.1.2;Promozione dell'efficienza energetica e del risparmio dell'energia;0;
3.2.1;Accrescere la capacità di offerta, la qualità e l'efficienza del servizio idrico, e rafforzare la difesa del suolo e la prevenzione dei rischi naturali;0;
3.2.2;Accrescere la capacità di offerta, qualità e efficienza del servizio di gestione dei rifiuti, rafforzando le filiere produttive a esso collegate e recuperare alle opportunità di sviluppo sostenibile i siti contaminati, anche a tutela della salute pubblica;0;
4.1.1;Migliorare la qualità e l'equità della partecipazione sociale e lavorativa, attraverso maggiore integrazione e accessibilità dei servizi di protezione sociale, di cura e conciliazione e dei sistemi di formazione, apprendimento e lavoro, con particolare attenzione alle pari opportunità e alle azioni di antidiscriminazione;0;
4.1.2;Garantire migliori condizioni di sicurezza a cittadini e imprese contribuendo alla riqualificazione dei contesti caratterizzati da maggiore pervasività e rilevanza dei fenomeni criminali;0;
4.2.1;Aumento strutturale dell'offerta di servizi;0;
4.2.2;Estensione della copertura territoriale per soddisfare bisogni e domanda di servizi oggi disattesi;0;
4.2.3;Sostegno alla domanda e accelerazione dell'entrata in funzione delle nuove strutture;0;
4.2.4;Miglioramento della qualità e della gestione dei servizi socioeducativi;0;
4.3.1;Aumento della presa in carico di anziani in assistenza domiciliare, assicurando un adeguato livello di prestazioni socio-assistenziali;0;
4.3.2;Aumento e qualificazione dell'offerta di servizi residenziali e semiresidenziali per gli anziani;0;
4.3.3;Miglioramento delle competenze di manager, operatori professionali e di assistenti familiari;0;
4.3.4;Sperimentazione di protocolli innovativi di presa in carico personalizzata dell'anziano fragile, favorendo l'integrazione tra le diverse filiere amministrative dell'intervento sociale e sanitario;0;
4.4.1;Supporto alla priorità mediante progetti di assistenza tecnica;0;
5.1.1;Valorizzare la rete ecologica e tutelare la biodiversità per migliorare la qualità dell'ambiente e promuovere opportunità di sviluppo economico sostenibile;0;
5.1.2;Valorizzare i beni e le attività culturali quale vantaggio comparato delle Regioni italiane per aumentarne l'attrattività territoriale, per rafforzare la coesione sociale e migliorare la qualità della vita dei residenti;0;
5.1.3;Aumentare in maniera sostenibile la competitività internazionale delle destinazioni turistiche delle Regioni italiane, migliorando la qualità dell'offerta e l'orientamento al mercato dei pacchetti turistici territoriali e valorizzando gli specifici vantaggi competitivi locali, in primo luogo le risorse naturali e culturali;0;
5.1.4;Rafforzare la capacità di conservazione e gestione delle risorse naturali e culturali mediante la cooperazione territoriale;0;
6.1.1;Contribuire alla realizzazione di un sistema logistico nazionale, supportando la costruzione di una rete nazionale di terminali di trasporto e di logistica, integrata, sicura, interconnessa ed omogenea;0;
6.1.2;Promuovere la mobilità urbana sostenibile e la logistica urbana;0;
6.1.3;Favorire la connessione delle aree produttive e dei sistemi urbani alle reti principali, le sinergie tra i territori e i nodi logistici e l'accessibilità delle aree periferiche: migliorare i servizi di trasporto a livello regionale e promuovere modalità sostenibili;0;
7.1.1;Aumentare la capacità delle Istituzioni locali quale condizione per l'efficacia di progetti locali e di area vasta e della governance del territorio;0;
7.1.2;Qualificare il partenariato socio-economico e rafforzarne il ruolo nello sviluppo locale;0;
7.2.1;Migliorare l'efficacia dei servizi alle imprese;0;
7.2.2;Sostenere la competitività dei sistemi produttivi locali favorendo anche la loro Internazionalizzazione;0;
7.2.3;Contribuire al miglioramento dell'efficienza del mercato dei capitali;0;
7.2.4;Favorire l'emersione e contrastare l'irregolarità;0;
7.3.1;Migliorare l'efficacia dei servizi di intermediazione tra domanda e offerta di lavoro e i raccordi con i sistemi delle imprese, dell'istruzione, della formazione e con le politiche sociali;0;
7.3.2;Promuovere interventi mirati alle esigenze di specifici gruppi target;0;
7.3.3;Migliorare la qualità del lavoro e sostenere la mobilità geografica e professionale.;0;
8.1.1;Sostenere la crescita e la diffusione delle funzioni urbane superiori per aumentare la competitività e per migliorare la fornitura di servizi di qualità nelle città e nei bacini territoriali sovracomunali e regionali di riferimento;0;
8.1.2;Elevare la qualità della vita, attraverso il miglioramento delle condizioni ambientali e la lotta ai disagi derivanti dalla congestione e dalle situazioni di marginalità urbana, al contempo valorizzando il patrimonio di identità e rafforzando la relazione della cittadinanza con i luoghi;0;
8.1.3;Favorire il collegamento delle città e dei sistemi territoriali con le reti materiali e immateriali dell'accessibilità e della conoscenza;0;
9.1.1;Sviluppare le capacità di internazionalizzazione;0;
9.1.2;Favorire l'attrazione di investimenti, di consumi e di risorse di qualità;0;
