ID_PSC;TIPO_AR;MACROAREA;OC_CODICE_PROGRAMMA;DESCRIZIONE_PROGRAMMA
PSC_ABRUZZO;REG;SUD;PSCABRUZZO;PSC ABRUZZO
PSC_BARI;CM;SUD;PSCCITMETBARI;PSC CITTA' BARI
PSC_BASILICATA;REG;SUD;PSCBASILICATA;PSCS BASILICATA
PSC_BOLOGNA;CM;CN;PSCCIMETBOLOGNA;PSC CITTA' BOLOGNA
PSC_CAGLIARI;CM;SUD;PSCCIMTCAGLIARI;PSC CITTA' CAGLIARI
PSC_CALABRIA;REG;SUD;PSCCALABRIA;PSC CALABRIA
PSC_CAMPANIA;REG;SUD;PSCCAMPANIA;PSC CAMPANIA
PSC_CATANIA;CM;SUD;PSCCIMETCATANIA;PSC CITTA' CATANIA
PSC_EMILIA-ROMA;REG;CN;PSCEMILROMAGNA;PSC EMILIA ROMAGNA
PSC_FIRENZE;CM;CN;PSCCIMETFIRENZE;PSC CITTA' FIRENZE
PSC_FRIULI-VENE;REG;CN;PSCFRIULI;PSC FRIULI-VENEZIA GIULIA
PSC_GENOVA;CM;CN;PSCCIMETGENOVA;PSC CITTA' GENOVA
PSC_LAZIO;REG;CN;PSCLAZIO;PSC LAZIO
PSC_LIGURIA;REG;CN;PSCLIGURIA;PSC LIGURIA
PSC_LOMBARDIA;REG;CN;PSCLOMBARDIA;PSC LOMBARDIA
PSC_MARCHE;REG;CN;PSCMARCHE;PSC MARCHE
PSC_MATTM;NAZ;NAZ;PSCTRANSECOLOG;PSC MINISTERO DELL'AMBIENTE E DELLA SICUREZZA ENERGETICA
PSC_MESSINA;CM;SUD;PSCCIMETMESSINA;PSC CITTA' MESSINA
PSC_MI;NAZ;NAZ;PSCISTRUZIONE;PSC MINISTERO DELL'ISTRUZIONE E DEL MERITO
PSC_MIC;NAZ;NAZ;PSCCULTURA;PSC MINISTERO CULTURA
PSC_MILANO;CM;CN;PSCCITMETMILANO;PSC CITTA' MILANO
PSC_MIPAAF;NAZ;NAZ;PSCAGRICOLTURA;PSC MINISTERO DELL'AGRICOLTURA SOVRANITA' ALIMENTARE E FORESTE
PSC_MISALUTE;NAZ;NAZ;PSCSALUTE;PSC MINISTERO SALUTE
PSC_MISE;NAZ;NAZ;PSCSVILECONOM;PSC MINISTERO DELLE IMPRESE E DEL MADE IN ITALY
PSC_MIT;NAZ;NAZ;PSCINFRASTRUT;PSC MINISTERO DELLE INFRASTRUTTURE E TRASPORTI
PSC_MOLISE;REG;SUD;PSCMOLISE;PSC MOLISE
PSC_MTUR;NAZ;NAZ;PSCTURISMO;PSC MINISTERO TURISMO
PSC_MUR;NAZ;NAZ;PSCUNIVRICERCA;PSC MINISTERO DELL'UNIVERSITA E DELLA RICERCA
PSC_NAPOLI;CM;SUD;PSCCITMETNAPOLI;PSC CITTA' NAPOLI
PSC_PA_BOLZANO;REG;CN;PSCBOLZANO;PSC PA BOLZANO
PSC_PA_TRENTO;REG;CN;PSCTRENTO;PSC PA TRENTO
PSC_PALERMO;CM;SUD;PSCCIMETPALERMO;PSC CITTA' PALERMO
PSC_PCM-SPORT;NAZ;NAZ;PSCPCMSPORT;PSC PCM SPORT
PSC_PIEMONTE;REG;CN;PSCPIEMONTE;PSC PIEMONTE
PSC_PUGLIA;REG;SUD;PSCPUGLIA;PSC PUGLIA
PSC_REGGIO_CALA;CM;SUD;PSCCITMETREGCAL;PSC CITTA' REGGIO CALABRIA
PSC_SARDEGNA;REG;SUD;PSCSARDEGNA;PSC SARDEGNA
PSC_SICILIA;REG;SUD;PSCSICILIA;PSC SICILIA
PSC_TOSCANA;REG;CN;PSCTOSCANA;PSC TOSCANA
PSC_UMBRIA;REG;CN;PSCUMBRIA;PSC UMBRIA
PSC_VALLE_D_AOS;REG;CN;PSCVALLEAOSTA;PSC VALLE D'AOSTA
PSC_VENETO;REG;CN;PSCVENETO;PSC VENETO
PSC_VENEZIA;CM;CN;PSCCIMETVENEZIA;PSC CITTA' VENEZIA
