"AREA_TEMATICA";"SETTORE_INTERVENTO";"COD_AREA_TEMATICA";"DES_AREA_TEMATICA";"COD_SETTORE_INTERVENTO";"DES_SETTORE_INTERVENTO"
"01-RICERCA E INNOVAZIONE";"01.01-RICERCA E SVILUPPO";"01";"RICERCA E INNOVAZIONE";"01";"RICERCA E SVILUPPO"
"01-RICERCA E INNOVAZIONE";"01.02-STRUTTURE DI RICERCA";"01";"RICERCA E INNOVAZIONE";"02";"STRUTTURE DI RICERCA"
"02-DIGITALIZZAZIONE";"02.01-TECNOLOGIE E SERVIZI DIGITALI";"02";"DIGITALIZZAZIONE";"01";"TECNOLOGIE E SERVIZI DIGITALI"
"02-DIGITALIZZAZIONE";"02.02-CONNETTIVITÀ DIGITALE";"02";"DIGITALIZZAZIONE";"02";"CONNETTIVITÀ DIGITALE"
"03-COMPETITIVITÀ IMPRESE";"03.01-INDUSTRIA E SERVIZI";"03";"COMPETITIVITÀ IMPRESE";"01";"INDUSTRIA E SERVIZI"
"03-COMPETITIVITÀ IMPRESE";"03.02-TURISMO E OSPITALITÀ";"03";"COMPETITIVITÀ IMPRESE";"02";"TURISMO E OSPITALITÀ"
"03-COMPETITIVITÀ IMPRESE";"03.03-AGRICOLTURA";"03";"COMPETITIVITÀ IMPRESE";"03";"AGRICOLTURA"
"03-COMPETITIVITÀ IMPRESE";"03.04-COMPETENZE";"03";"COMPETITIVITÀ IMPRESE";"04";"COMPETENZE"
"04-ENERGIA";"04.01-EFFICIENZA ENERGETICA";"04";"ENERGIA";"01";"EFFICIENZA ENERGETICA"
"04-ENERGIA";"04.02-ENERGIA RINNOVABILE";"04";"ENERGIA";"02";"ENERGIA RINNOVABILE"
"04-ENERGIA";"04.03-RETI E ACCUMULO";"04";"ENERGIA";"03";"RETI E ACCUMULO"
"05-AMBIENTE E RISORSE NATURALI";"05.01-RISCHI E ADATTAMENTO CLIMATICO";"05";"AMBIENTE E RISORSE NATURALI";"01";"RISCHI E ADATTAMENTO CLIMATICO"
"05-AMBIENTE E RISORSE NATURALI";"05.02-RISORSE IDRICHE";"05";"AMBIENTE E RISORSE NATURALI";"02";"RISORSE IDRICHE"
"05-AMBIENTE E RISORSE NATURALI";"05.03-RIFIUTI";"05";"AMBIENTE E RISORSE NATURALI";"03";"RIFIUTI"
"05-AMBIENTE E RISORSE NATURALI";"05.04-BONIFICHE";"05";"AMBIENTE E RISORSE NATURALI";"04";"BONIFICHE"
"05-AMBIENTE E RISORSE NATURALI";"05.05-NATURA E BIODIVERSITÀ";"05";"AMBIENTE E RISORSE NATURALI";"05";"NATURA E BIODIVERSITÀ"
"05-AMBIENTE E RISORSE NATURALI";"05.06-RISORSE IDRICHE (DEPURAZIONE)";"05";"AMBIENTE E RISORSE NATURALI";"06";"RISORSE IDRICHE (DEPURAZIONE)"
"06-CULTURA";"06.01-PATRIMONIO E PAESAGGIO";"06";"CULTURA";"01";"PATRIMONIO E PAESAGGIO"
"06-CULTURA";"06.02-ATTIVITÀ CULTURALI";"06";"CULTURA";"02";"ATTIVITÀ CULTURALI"
"07-TRASPORTI E MOBILITÀ";"07.01-TRASPORTO STRADALE";"07";"TRASPORTI E MOBILITÀ";"01";"TRASPORTO STRADALE"
"07-TRASPORTI E MOBILITÀ";"07.02-TRASPORTO FERROVIARIO";"07";"TRASPORTI E MOBILITÀ";"02";"TRASPORTO FERROVIARIO"
"07-TRASPORTI E MOBILITÀ";"07.03-TRASPORTO MARITTIMO";"07";"TRASPORTI E MOBILITÀ";"03";"TRASPORTO MARITTIMO"
"07-TRASPORTI E MOBILITÀ";"07.04-TRASPORTO AEREO";"07";"TRASPORTI E MOBILITÀ";"04";"TRASPORTO AEREO"
"07-TRASPORTI E MOBILITÀ";"07.05-MOBILITÀ URBANA";"07";"TRASPORTI E MOBILITÀ";"05";"MOBILITÀ URBANA"
"07-TRASPORTI E MOBILITÀ";"07.06-LOGISTICA";"07";"TRASPORTI E MOBILITÀ";"06";"LOGISTICA"
"08-RIQUALIFICAZIONE URBANA";"08.01-EDILIZIA E SPAZI PUBBLICI";"08";"RIQUALIFICAZIONE URBANA";"01";"EDILIZIA E SPAZI PUBBLICI"
"08-RIQUALIFICAZIONE URBANA";"08.01-EDILIZIA PRIVATA";"08";"RIQUALIFICAZIONE URBANA";"02";"EDILIZIA PRIVATA"
"09-LAVORO E OCCUPABILITÀ";"09.01-SVILUPPO DELL'OCCUPAZIONE";"09";"LAVORO E OCCUPABILITÀ";"01";"SVILUPPO DELL'OCCUPAZIONE"
"10-SOCIALE E SALUTE";"10.01-STRUTTURE SOCIALI";"10";"SOCIALE E SALUTE";"01";"STRUTTURE SOCIALI"
"10-SOCIALE E SALUTE";"10.02-STRUTTURE E ATTREZZATURE SANITARIE";"10";"SOCIALE E SALUTE";"02";"STRUTTURE E ATTREZZATURE SANITARIE"
"10-SOCIALE E SALUTE";"10.03-SERVIZI SOCIO-ASSISTENZIALI";"10";"SOCIALE E SALUTE";"03";"SERVIZI SOCIO-ASSISTENZIALI"
"10-SOCIALE E SALUTE";"10.04-ANIMAZIONE SOCIALE E DI COMUNITÀ";"10";"SOCIALE E SALUTE";"04";"ANIMAZIONE SOCIALE E DI COMUNITÀ"
"11-ISTRUZIONE E FORMAZIONE";"11.01-STRUTTURE EDUCATIVE E FORMATIVE";"11";"ISTRUZIONE E FORMAZIONE";"01";"STRUTTURE EDUCATIVE E FORMATIVE"
"11-ISTRUZIONE E FORMAZIONE";"11.02-EDUCAZIONE E FORMAZIONE";"11";"ISTRUZIONE E FORMAZIONE";"02";"EDUCAZIONE E FORMAZIONE"
"12-CAPACITÀ AMMINISTRATIVA";"12.01-RAFFORZAMENTO PA";"12";"CAPACITÀ AMMINISTRATIVA";"01";"RAFFORZAMENTO PA"
"12-CAPACITÀ AMMINISTRATIVA";"12.02-ASSISTENZA TECNICA";"12";"CAPACITÀ AMMINISTRATIVA";"02";"ASSISTENZA TECNICA"
"ND";"ND";"99";"ND";"99";"ND"
